epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7016870975494385,9.999999747378752e-06,0.6868507266044617,0.5,0.7182039618492126
1,0.709930956363678,9.999999747378752e-06,0.6438745856285095,0.625,0.6237540245056152
2,0.7087806463241577,9.999999747378752e-06,0.6359308362007141,0.625,0.6267317533493042
3,0.717024564743042,9.999999747378752e-06,0.617881715297699,0.75,0.5597331523895264
4,0.7262269854545593,9.999999747378752e-06,0.59078049659729,0.625,0.6285573244094849
5,0.7291027903556824,9.999999747378752e-06,0.5901429057121277,0.6875,0.5885787606239319
6,0.7314033508300781,4.999999873689376e-06,0.578495442867279,0.6875,0.6179741024971008
7,0.7248849868774414,4.999999873689376e-06,0.5868930220603943,0.625,0.6426594257354736
8,0.7283359169960022,2.499999936844688e-06,0.5779587626457214,0.625,0.626380980014801
