epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7131901979446411,9.999999747378752e-05,0.5926249027252197,0.8125,0.6818384528160095
1,0.745398759841919,9.999999747378752e-05,0.5529676079750061,0.75,0.6560285091400146
2,0.7526840567588806,9.999999747378752e-05,0.5435149669647217,0.75,0.6253308057785034
3,0.7521088719367981,9.999999747378752e-05,0.5358205437660217,0.75,0.5956802368164062
4,0.7551763653755188,9.999999747378752e-05,0.525230884552002,0.75,0.5823256373405457
5,0.754217803478241,9.999999747378752e-05,0.5314441323280334,0.6875,0.5904121994972229
6,0.7601610422134399,9.999999747378752e-05,0.5171675682067871,0.6875,0.5885835886001587
7,0.7584356069564819,9.999999747378752e-05,0.5139740705490112,0.75,0.5800237059593201
